File_name	2-group_HSDs#	3-group_HSDs#	>=4-group_HSDs#
Arabidopsis_thaliana.50_10	4830	1804	2152
Arabidopsis_thaliana.50_100	3477	1743	3398
Arabidopsis_thaliana.50_30	4355	1828	2892
Arabidopsis_thaliana.50_50	3964	1817	3150
Arabidopsis_thaliana.50_70	3712	1752	3290
Arabidopsis_thaliana.60_10	5067	1766	1856
Arabidopsis_thaliana.60_100	4271	2030	3271
Arabidopsis_thaliana.60_30	4912	1970	2604
Arabidopsis_thaliana.60_50	4678	2013	2947
Arabidopsis_thaliana.60_70	4495	1989	3134
Arabidopsis_thaliana.70_10	5210	1681	1533
Arabidopsis_thaliana.70_100	4941	2169	2990
Arabidopsis_thaliana.70_30	5316	1988	2217
Arabidopsis_thaliana.70_50	5203	2094	2584
Arabidopsis_thaliana.70_70	5108	2095	2799
Arabidopsis_thaliana.80_10	5173	1568	1227
Arabidopsis_thaliana.80_100	5465	2253	2589
Arabidopsis_thaliana.80_30	5584	1914	1796
Arabidopsis_thaliana.80_50	5598	2077	2148
Arabidopsis_thaliana.80_70	5547	2146	2383
Arabidopsis_thaliana.90_10	4958	1451	996
Arabidopsis_thaliana.90_100	5726	2192	2234
Arabidopsis_thaliana.90_30	5587	1813	1467
Arabidopsis_thaliana.90_50	5727	1990	1778
Arabidopsis_thaliana.90_70	5735	2087	2008
