File_name	Candidate_HSDs#	Non-redundant_gene_copies#	Gene_copies#	True_HSDs#	Space#	Incomplete_HSDs#	Capturing_value	Performance_score	File_name	2-group_HSDs#	3-group_HSDs#	>=4-group_HSDs#
Arabidopsis_thaliana.50_10	8786	28397	29512	6684	7963	2102	76.08	3.57	Arabidopsis_thaliana.50_10	4830	1804	2152
Arabidopsis_thaliana.50_100	8618	40016	44006	5990	7665	2628	69.51	2.64	Arabidopsis_thaliana.50_100	3477	1743	3398
Arabidopsis_thaliana.50_30	9075	34911	38227	6628	8166	2447	73.04	3.08	Arabidopsis_thaliana.50_30	4355	1828	2892
Arabidopsis_thaliana.50_50	8931	37483	41699	6386	8000	2545	71.5	2.87	Arabidopsis_thaliana.50_50	3964	1817	3150
Arabidopsis_thaliana.50_70	8754	38864	43386	6165	7801	2589	70.42	2.75	Arabidopsis_thaliana.50_70	3712	1752	3290
Arabidopsis_thaliana.60_10	8689	26130	26657	6770	7898	1919	77.91	3.94	Arabidopsis_thaliana.60_10	5067	1766	1856
Arabidopsis_thaliana.60_100	9572	37703	39548	6951	8506	2621	72.62	3.06	Arabidopsis_thaliana.60_100	4271	2030	3271
Arabidopsis_thaliana.60_30	9486	32251	34001	7155	8574	2331	75.43	3.46	Arabidopsis_thaliana.60_30	4912	1970	2604
Arabidopsis_thaliana.60_50	9638	34976	36865	7167	8655	2471	74.36	3.3	Arabidopsis_thaliana.60_50	4678	2013	2947
Arabidopsis_thaliana.60_70	9618	36434	39074	7057	8593	2561	73.37	3.15	Arabidopsis_thaliana.60_70	4495	1989	3134
Arabidopsis_thaliana.70_10	8424	23882	24017	6735	7703	1689	79.95	4.41	Arabidopsis_thaliana.70_10	5210	1681	1533
Arabidopsis_thaliana.70_100	10100	35085	36239	7641	9032	2459	75.65	3.54	Arabidopsis_thaliana.70_100	4941	2169	2990
Arabidopsis_thaliana.70_30	9521	29487	30190	7452	8659	2069	78.27	4.02	Arabidopsis_thaliana.70_30	5316	1988	2217
Arabidopsis_thaliana.70_50	9881	32206	32926	7629	8932	2252	77.21	3.81	Arabidopsis_thaliana.70_50	5203	2094	2584
Arabidopsis_thaliana.70_70	10002	33728	34765	7645	9000	2357	76.43	3.67	Arabidopsis_thaliana.70_70	5108	2095	2799
Arabidopsis_thaliana.80_10	7968	21518	21553	6547	7370	1421	82.17	5.02	Arabidopsis_thaliana.80_10	5173	1568	1227
Arabidopsis_thaliana.80_100	10307	32500	32685	8088	9284	2219	78.47	4.1	Arabidopsis_thaliana.80_100	5465	2253	2589
Arabidopsis_thaliana.80_30	9294	26694	26841	7511	8544	1783	80.82	4.63	Arabidopsis_thaliana.80_30	5584	1914	1796
Arabidopsis_thaliana.80_50	9823	29417	29597	7850	8968	1973	79.91	4.41	Arabidopsis_thaliana.80_50	5598	2077	2148
Arabidopsis_thaliana.80_70	10076	31010	31198	7979	9139	2097	79.19	4.25	Arabidopsis_thaliana.80_70	5547	2146	2383
Arabidopsis_thaliana.90_10	7405	19393	19405	6267	6948	1138	84.63	5.9	Arabidopsis_thaliana.90_10	4958	1451	996
Arabidopsis_thaliana.90_100	10152	30050	30104	8218	9219	1934	80.95	4.73	Arabidopsis_thaliana.90_100	5726	2192	2234
Arabidopsis_thaliana.90_30	8867	24274	24328	7394	8246	1473	83.39	5.44	Arabidopsis_thaliana.90_30	5587	1813	1467
Arabidopsis_thaliana.90_50	9495	26875	26929	7820	8757	1675	82.36	5.11	Arabidopsis_thaliana.90_50	5727	1990	1778
Arabidopsis_thaliana.90_70	9830	28497	28552	8026	8999	1804	81.65	4.91	Arabidopsis_thaliana.90_70	5735	2087	2008
