NP_027421.1	NP_027421.1; NP_001077869.1; NP_001318180.1; NP_001324640.1	486; 486; 486; 486	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_027422.1	NP_027422.1; NP_849661.1; NP_001319003.1; NP_567636.1	303; 293; 245; 291	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_027726.1	NP_027726.1; NP_001077883.1; NP_001031339.1; NP_973428.1	374; 328; 326; 326	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_028242.1	NP_028242.1; NP_001324370.1; NP_849959.1	307; 224; 224	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_028489.2	NP_028489.2; NP_028490.1; NP_001077913.1	287; 322; 241	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_029567.1	NP_029567.1; NP_001324173.1; NP_001031444.2; NP_001189635.1; NP_001324174.1	909; 909; 911; 933; 892	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_029729.1	NP_029729.1; NP_001325198.1; NP_180032.2; NP_176139.1; NP_180590.1; NP_180712.1; NP_180581.1; NP_563774.1	219; 316; 363; 360; 359; 360; 358; 360	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_030435.1	NP_030435.1; NP_030438.1; NP_001189707.1; NP_199171.3; NP_199170.2; NP_001330099.1	70; 73; 88; 99; 103; 113	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_030517.1	NP_030517.1; NP_001318385.1	401; 401	Pfam	; 	; 	; 	; 	; 
NP_030522.1	NP_030522.1; NP_001330589.1; NP_197401.2; NP_566275.1; NP_197600.1; NP_189956.2	408; 407; 407; 406; 410; 415	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_030524.1	NP_030524.1; NP_001118478.1	259; 227	Pfam	; 	; 	; 	; 	; 
NP_030560.1	NP_030560.1; NP_565924.1; NP_001189720.1	424; 427; 441	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_030608.1	NP_030608.1; NP_001325082.1	535; 503	Pfam	; 	; 	; 	; 	; 
NP_030663.1	NP_030663.1; NP_001325423.1; NP_191230.1	141; 151; 151	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_030664.1	NP_030664.1; NP_001323503.1	536; 506	Pfam	; 	; 	; 	; 	; 
NP_030961.1	NP_030961.1; NP_030964.1; NP_850414.1; NP_186836.1; NP_186837.1	542; 553; 583; 583; 592	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_051044.1	NP_051044.1; YP_009472105.2	507; 507	Pfam	; 	; 	; 	; 	; 
NP_051066.1	NP_051066.1; NP_568203.2; NP_568204.1; NP_680155.1	498; 556; 556; 559	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_051099.1	NP_051099.1; NP_051123.1	274; 274	Pfam	; 	; 	; 	; 	; 
NP_051100.1	NP_051100.1; NP_051122.1	93; 93	Pfam	; 	; 	; 	; 	; 
NP_051101.1	NP_051101.1; NP_051121.1	2294; 2294	Pfam	; 	; 	; 	; 	; 
NP_051103.2	NP_051103.2; NP_051119.2	512; 512	Pfam	; 	; 	; 	; 	; 
NP_051104.1	NP_051104.1; NP_051118.1	155; 155	Pfam	; 	; 	; 	; 	; 
NP_171612.1	NP_171612.1; NP_001184881.1	1909; 1910	Pfam	; 	; 	; 	; 	; 
NP_171614.1	NP_171614.1; NP_001030924.1; NP_001320627.1; NP_001320629.1; NP_849568.1; NP_001077437.1; NP_001184882.1; NP_001320628.1	645; 645; 645; 645; 645; 644; 643; 643	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171616.1	NP_171616.1; NP_001030925.1; NP_001320997.1	293; 294; 286	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171620.2	NP_171620.2; NP_199189.1; NP_171918.1	528; 529; 528	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171621.2	NP_171621.2; NP_199528.1	124; 150	Pfam	; 	; 	; 	; 	; 
NP_171623.1	NP_171623.1; NP_001322664.1; NP_001322663.1; NP_195998.2; NP_001331807.1; NP_001331808.1; NP_193003.2	345; 309; 292; 420; 351; 367; 499	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_171627.2	NP_171627.2; NP_001318901.1; NP_182189.1; NP_191747.1; NP_001190156.1; NP_177551.1; NP_196559.1; NP_172827.1	540; 535; 530; 534; 555; 537; 536; 517	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171629.1	NP_171629.1; NP_001322609.1; NP_001322610.1; NP_192535.1	106; 106; 106; 106	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171634.1	NP_171634.1; NP_001077440.1; NP_001184883.1	590; 590; 590	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171637.1	NP_171637.1; NP_191741.1; NP_173922.1; NP_188478.1	485; 483; 483; 500	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
