ko_id	category1	category2	function	Arabidopsis_thaliana.batch_run_hsds_id	Arabidopsis_thaliana.batch_run_hsds_genes	Arabidopsis_thaliana.batch_run_hsds_num	Chlamydomonas_reinhardtii.batch_run_hsds_id	Chlamydomonas_reinhardtii.batch_run_hsds_genes	Chlamydomonas_reinhardtii.batch_run_hsds_num
K00844	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	HK; hexokinase 	NP_175463.1, NP_179576.1	NP_175463.1; NP_001322008.1; NP_188639.2; NP_001322009.1, NP_179576.1; NP_194642.1	2			
K01810	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	GPI, pgi; glucose-6-phosphate isomerase 	NP_194193.2, NP_199088.1	NP_194193.2; NP_001078444.1, NP_199088.1; NP_001332180.1; NP_001332179.1	2	XP_001703279.1	XP_001703279.1; XP_042926079.1	1
K00850	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	pfkA, PFK; 6-phosphofructokinase 1 	NP_200966.2	NP_200966.2; NP_001032120.1; NP_850025.1	1	XP_001694148.1	XP_001694148.1; XP_001696305.1	1
K00895	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	pfp, PFP; diphosphate-dependent phosphofructokinase 	NP_173519.1	NP_173519.1; NP_177781.1	1			
K03841	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	FBP, fbp; fructose-1,6-bisphosphatase I 	NP_190973.1	NP_190973.1; NP_001190083.1	1			
K01623	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ALO; fructose-bisphosphate aldolase, class I 	NP_181187.1, NP_178224.1, NP_194383.1, NP_194382.1	NP_181187.1; NP_190861.1; NP_850759.1; NP_568127.1; NP_001118453.1; NP_001318364.1; NP_001330597.1; NP_001330598.1, NP_178224.1; NP_568049.1; NP_565508.1; NP_001031387.1; NP_001031386.1; NP_974710.1, NP_194383.1; NP_001031721.1; NP_001328708.1, NP_194382.1; NP_001329763.1; NP_001329761.1; NP_001329762.1	4	XP_001700659.1, XP_001700318.1	XP_001700659.1; XP_042924765.1, XP_001700318.1; XP_042928134.1	2
K01803	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	TPI, tpiA; triosephosphate isomerase (TIM) 	NP_179713.1	NP_179713.1; NP_001323967.1; NP_001077931.1	1			
K00134	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	GAPH, gapA; glyceraldehyde 3-phosphate dehydrogenase 	NP_172750.1	NP_172750.1; NP_001321059.1; NP_566796.2; NP_001117276.1; NP_001184977.1; NP_174996.1; NP_001077529.1; NP_172801.1; NP_187062.1; NP_001077530.1; NP_178071.1; NP_173080.1	1			
K00927	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PGK, pgk; phosphoglycerate kinase 	NP_178073.1, NP_176015.1	NP_178073.1; NP_849907.1; NP_001117503.1, NP_176015.1; NP_187884.1	2			
K01834	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 	NP_564161.1	NP_564161.1; NP_001321168.1	1			
K15634	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 	NP_190621.1	NP_190621.1; NP_196032.1	1			
