NP_027421.1	NP_027421.1; NP_001077869.1; NP_001318180.1; NP_001324640.1	486; 486; 486; 486	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_029567.1	NP_029567.1; NP_001324173.1; NP_001031444.2	909; 909; 911	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_030434.1	NP_030434.1; NP_850303.1	389; 398	Pfam	; 	; 	; 	; 	; 
NP_030436.1	NP_030436.1; NP_001031511.1; NP_850304.2; NP_850305.2; NP_001189704.1	141; 141; 141; 140; 139	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_030517.1	NP_030517.1; NP_001318385.1	401; 401	Pfam	; 	; 	; 	; 	; 
NP_051037.1	NP_051037.1; NP_051038.1	123; 123	Pfam	; 	; 	; 	; 	; 
NP_051099.1	NP_051099.1; NP_051123.1	274; 274	Pfam	; 	; 	; 	; 	; 
NP_051100.1	NP_051100.1; NP_051122.1	93; 93	Pfam	; 	; 	; 	; 	; 
NP_051101.1	NP_051101.1; NP_051121.1	2294; 2294	Pfam	; 	; 	; 	; 	; 
NP_051103.2	NP_051103.2; NP_051119.2	512; 512	Pfam	; 	; 	; 	; 	; 
NP_051104.1	NP_051104.1; NP_051118.1	155; 155	Pfam	; 	; 	; 	; 	; 
NP_171612.1	NP_171612.1; NP_001184881.1	1909; 1910	Pfam	; 	; 	; 	; 	; 
NP_171613.1	NP_171613.1; NP_001322481.1; NP_001329345.1; NP_192057.1	212; 212; 216; 216	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171614.1	NP_171614.1; NP_001030924.1; NP_001320627.1; NP_001320629.1; NP_849568.1; NP_001077437.1; NP_001184882.1; NP_001320628.1	645; 645; 645; 645; 645; 644; 643; 643	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171616.1	NP_171616.1; NP_001030925.1; NP_001320997.1	293; 294; 286	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171618.1	NP_171618.1; NP_001077439.1; NP_849569.1; NP_001078728.1; NP_199581.1; NP_567190.1; NP_849278.1	112; 112; 112; 113; 113; 113; 113	Pfam	; ; ; PF00428; ; ; 	; ; ; 60s Acidic ribosomal protein; ; ; 	; ; ; 9.3E-27; ; ; 	; ; ; -; ; ; 	; ; ; -; ; ; 
NP_171622.1	NP_171622.1; NP_849570.1; NP_849571.1	447; 449; 451	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171625.1	NP_171625.1; NP_001030926.1	83; 83	Pfam	PF06592; 	Protein of unknown function (DUF1138); 	5.9E-44; 	IPR009515; 	Protein of unknown function DUF1138; 
NP_171627.2	NP_171627.2; NP_001318901.1	540; 535	Pfam	; 	; 	; 	; 	; 
NP_171629.1	NP_171629.1; NP_001322609.1; NP_001322610.1; NP_192535.1	106; 106; 106; 106	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171634.1	NP_171634.1; NP_001077440.1; NP_001184883.1	590; 590; 590	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171636.1	NP_171636.1; NP_001154299.1	270; 270	Pfam	PF01967; 	MoaC family; 	2.9E-53; 	IPR002820; 	Molybdopterin cofactor biosynthesis C (MoaC) domain; 
NP_171639.3	NP_171639.3; NP_001321495.1; NP_001184884.1	1797; 1789; 1787	Pfam	PF12807, PF15044, PF13424; ; 	Translation initiation factor eIF3 subunit 135, Mitochondrial function, CLU-N-term, Tetratricopeptide repeat; ; 	1.9E-22, 1.5E-8, 2.8E-13; ; 	IPR033646, IPR028275, -; ; 	CLU central domain, Clustered mitochondria protein, N-terminal, -; ; 
NP_171649.1	NP_171649.1; NP_001322549.1	481; 484	Pfam	; 	; 	; 	; 	; 
NP_171656.1	NP_171656.1; NP_001030928.1	177; 177	Pfam	; 	; 	; 	; 	; 
NP_171659.1	NP_171659.1; NP_001320252.1	287; 287	Pfam	; 	; 	; 	; 	; 
NP_171667.1	NP_171667.1; NP_191950.2	503; 500	Pfam	PF12710, PF01553; 	haloacid dehalogenase-like hydrolase, Acyltransferase; 	1.6E-13, 2.7E-5; 	-, IPR002123; 	-, Phospholipid/glycerol acyltransferase; 
NP_171668.1	NP_171668.1; NP_567178.1; NP_001078323.1; NP_191702.1; NP_182120.1; NP_194071.1	286; 287; 286; 286; 286; 287	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_171672.1	NP_171672.1; NP_001321445.1	568; 569	Pfam	; 	; 	; 	; 	; 
NP_171673.2	NP_171673.2; NP_001321953.1	365; 365	Pfam	; 	; 	; 	; 	; 
NP_171679.1	NP_171679.1; NP_001184886.1; NP_001322176.1	483; 483; 475	Pfam	PF07714; ; 	Protein tyrosine and serine/threonine kinase; ; 	3.8E-26; ; 	IPR001245; ; 	Serine-threonine/tyrosine-protein kinase, catalytic domain; ; 
NP_171680.1	NP_171680.1; NP_001320442.1; NP_001328554.1; NP_567182.1	140; 145; 150; 140	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171681.3	NP_171681.3; NP_001322031.1; NP_001322029.1	420; 420; 419	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171684.2	NP_171684.2; NP_001320631.1	1193; 1193	Pfam	; 	; 	; 	; 	; 
NP_171690.1	NP_171690.1; NP_001322240.1	343; 346	Pfam	; 	; 	; 	; 	; 
NP_171691.2	NP_171691.2; NP_001320987.1; NP_001184887.1	599; 599; 598	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171702.1	NP_171702.1; NP_191922.1	434; 430	Pfam	; 	; 	; 	; 	; 
NP_171712.2	NP_171712.2; NP_973741.1	332; 332	Pfam	; 	; 	; 	; 	; 
NP_171721.3	NP_171721.3; NP_973742.1	627; 623	Pfam	; 	; 	; 	; 	; 
NP_171723.2	NP_171723.2; NP_001184890.1; NP_001320548.1	625; 630; 626	Pfam	; PF04116, PF12076; 	; Fatty acid hydroxylase superfamily, WAX2 C-terminal domain; 	; 7.2E-19, 1.6E-69; 	; IPR006694, IPR021940; 	; Fatty acid hydroxylase, Uncharacterised domain Wax2, C-terminal; 
NP_171728.2	NP_171728.2; NP_001320653.1	502; 502	Pfam	; 	; 	; 	; 	; 
NP_171730.1	NP_171730.1; NP_001117215.1	297; 297	Pfam	; 	; 	; 	; 	; 
NP_171743.1	NP_171743.1; NP_001321510.1; NP_001321511.1	287; 287; 287	Pfam	; ; PF04442	; ; Cytochrome c oxidase assembly protein CtaG/Cox11	; ; 3.4E-61	; ; IPR007533	; ; Cytochrome c oxidase assembly protein CtaG/Cox11
NP_171751.1	NP_171751.1; NP_849577.1; NP_001078345.1; NP_192094.1; NP_188365.1; NP_001118458.1; NP_181225.1	393; 393; 393; 393; 393; 390; 390	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_171753.1	NP_171753.1; NP_001322407.1; NP_001322408.1; NP_171754.1	1278; 1278; 1278; 1273	Pfam	; ; PF00664, PF00005; PF00664, PF00005	; ; ABC transporter transmembrane region, ABC transporter; ABC transporter transmembrane region, ABC transporter	; ; 4.6E-60, 3.1E-35; 9.3E-59, 1.7E-35	; ; IPR011527, IPR003439; IPR011527, IPR003439	; ; ABC transporter type 1, transmembrane domain, ABC transporter-like, ATP-binding domain; ABC transporter type 1, transmembrane domain, ABC transporter-like, ATP-binding domain
NP_171765.1	NP_171765.1; NP_001321610.1	513; 510	Pfam	; 	; 	; 	; 	; 
NP_171769.1	NP_171769.1; NP_973743.1	538; 539	Pfam	; 	; 	; 	; 	; 
NP_171772.1	NP_171772.1; NP_973744.1	361; 361	Pfam	; 	; 	; 	; 	; 
NP_171791.1	NP_171791.1; NP_001184893.1; NP_171792.1	209; 208; 208	Pfam	PF02798, PF00043; ; 	Glutathione S-transferase, N-terminal domain, Glutathione S-transferase, C-terminal domain; ; 	1.8E-21, 6.7E-17; ; 	IPR004045, IPR004046; ; 	Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal; ; 
NP_171793.1	NP_171793.1; NP_001322017.1	256; 256	Pfam	; 	; 	; 	; 	; 
NP_171797.2	NP_171797.2; NP_001318910.1	742; 742	Pfam	; PF00888, PF10557	; Cullin family, Cullin protein neddylation domain	; 1.3E-166, 2.6E-26	; IPR001373, IPR019559	; Cullin, N-terminal, Cullin protein, neddylation domain
NP_171800.1	NP_171800.1; NP_001320178.1	634; 633	Pfam	; 	; 	; 	; 	; 
NP_171802.2	NP_171802.2; NP_001320307.1	301; 294	Pfam	; 	; 	; 	; 	; 
NP_171805.1	NP_171805.1; NP_001322129.1	3582; 3581	Pfam	; 	; 	; 	; 	; 
NP_171806.1	NP_171806.1; NP_001184896.1; NP_001320512.1	247; 247; 247	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171807.2	NP_171807.2; NP_001322258.1; NP_001322259.1	1733; 1733; 1733	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171812.1	NP_171812.1; NP_192186.1	204; 208	Pfam	; PF02531	; PsaD	; 2.2E-67	; IPR003685	; Photosystem I PsaD
NP_171817.2	NP_171817.2; NP_001322982.1	265; 265	Pfam	; 	; 	; 	; 	; 
NP_171818.1	NP_171818.1; NP_849584.1	758; 758	Pfam	; 	; 	; 	; 	; 
NP_171821.1	NP_171821.1; NP_563679.1	433; 434	Pfam	; PF14541, PF14543	; Xylanase inhibitor C-terminal, Xylanase inhibitor N-terminal	; 6.9E-56, 2.3E-38	; IPR032799, IPR032861	; Xylanase inhibitor, C-terminal, Xylanase inhibitor, N-terminal
NP_171823.1	NP_171823.1; NP_001318912.1	42; 41	Pfam	; 	; 	; 	; 	; 
NP_171828.1	NP_171828.1; NP_001184898.1; NP_001322179.1; NP_001322180.1	571; 571; 571; 571	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171830.1	NP_171830.1; NP_973751.1	882; 882	Pfam	; 	; 	; 	; 	; 
NP_171844.6	NP_171844.6; NP_001321215.1	793; 786	Pfam	PF16891, PF13415, PF00149; 	Serine-threonine protein phosphatase N-terminal domain, Galactose oxidase, central domain, Calcineurin-like phosphoesterase; 	2.2E-7, 5.5E-6, 5.5E-31; 	IPR031675, -, IPR004843; 	Serine-threonine protein phosphatase, N-terminal, -, Calcineurin-like phosphoesterase domain, ApaH type; 
NP_171845.2	NP_171845.2; NP_973752.1	429; 438	Pfam	; 	; 	; 	; 	; 
NP_171846.2	NP_171846.2; NP_001030943.1; NP_001318913.1; NP_001323097.1	269; 269; 269; 269	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171859.1	NP_171859.1; NP_001321015.1; NP_001321016.1; NP_001321017.1; NP_001321019.1; NP_001321020.1; NP_001321021.1; NP_001321022.1; NP_001321023.1	265; 265; 265; 265; 265; 265; 265; 265; 265	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_171860.1	NP_171860.1; NP_001030948.1	401; 399	Pfam	; 	; 	; 	; 	; 
NP_171867.2	NP_171867.2; NP_001117223.1	202; 202	Pfam	; PF00031	; Cystatin domain	; 9.2E-5	; IPR000010	; Cystatin domain
NP_171868.1	NP_171868.1; NP_001322034.1	274; 266	Pfam	; 	; 	; 	; 	; 
NP_171873.2	NP_171873.2; NP_001318915.1; NP_001184901.1	460; 462; 468	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171880.1	NP_171880.1; NP_001030951.1	506; 504	Pfam	; 	; 	; 	; 	; 
NP_171882.1	NP_171882.1; NP_973756.1	286; 286	Pfam	; 	; 	; 	; 	; 
NP_171888.1	NP_171888.1; NP_001323295.1	569; 569	Pfam	; 	; 	; 	; 	; 
NP_171899.2	NP_171899.2; NP_001320872.1	434; 434	Pfam	; 	; 	; 	; 	; 
NP_171901.3	NP_171901.3; NP_001320725.1	734; 734	Pfam	; 	; 	; 	; 	; 
NP_171908.1	NP_171908.1; NP_001184906.1	1514; 1509	Pfam	; 	; 	; 	; 	; 
NP_171913.1	NP_171913.1; NP_001320247.1	465; 465	Pfam	; 	; 	; 	; 	; 
NP_171919.3	NP_171919.3; NP_001320736.1	293; 292	Pfam	; 	; 	; 	; 	; 
NP_171923.1	NP_171923.1; NP_196513.1; NP_001030956.1; NP_196512.1; NP_199177.1	152; 152; 151; 150; 149	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171926.3	NP_171926.3; NP_001077455.1	1074; 1082	Pfam	; 	; 	; 	; 	; 
NP_171927.1	NP_171927.1; NP_001323287.1	645; 645	Pfam	; 	; 	; 	; 	; 
NP_171935.1	NP_171935.1; NP_849588.1	612; 612	Pfam	PF03441, PF00875; 	FAD binding domain of DNA photolyase, DNA photolyase; 	2.1E-66, 6.8E-41; 	IPR005101, IPR006050; 	Cryptochrome/DNA photolyase, FAD-binding domain, DNA photolyase, N-terminal; 
NP_171936.1	NP_171936.1; NP_199147.1	332; 332	Pfam	; 	; 	; 	; 	; 
NP_171943.2	NP_171943.2; NP_001077456.1; NP_001318919.1; NP_001321664.1; NP_001321665.1; NP_001321667.1; NP_001321668.1; NP_001321669.1	401; 401; 401; 401; 401; 401; 401; 401	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171944.2	NP_171944.2; NP_001318920.1; NP_001322235.1; NP_001322236.1	386; 386; 377; 384	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171957.2	NP_171957.2; NP_565761.1	143; 143	Pfam	PF06212; 	GRIM-19 protein; 	1.4E-41; 	IPR009346; 	GRIM-19; 
NP_171958.1	NP_171958.1; NP_001030961.1	235; 235	Pfam	; 	; 	; 	; 	; 
